epoch,step,global_step,phase,loss,perplexity,accuracy,precision,recall,f1_macro,f1_weighted,learning_rate,samples_per_sec,wall_time_sec
0.4571,3500,3500,train,4.249743,70.09,0.233310,,,,,0.00008207,0.0,3212.8
0.4636,3550,3550,train,4.202299,66.84,0.233902,,,,,0.00008172,0.0,3258.3
0.4702,3600,3600,train,4.159003,64.01,0.229635,,,,,0.00008138,0.0,3303.6
0.4767,3650,3650,train,4.105146,60.65,0.244040,,,,,0.00008103,0.0,3348.8
0.4832,3700,3700,train,4.064510,58.24,0.243234,,,,,0.00008068,0.0,3394.1
0.4897,3750,3750,train,4.034214,56.50,0.255355,,,,,0.00008033,0.0,3439.4
0.0.4963,3800,3800,train,4.001884,54.70,0.272666,,,,,0.00007999,0.0,3514.50.5028,3850,3850,train,3.966423,52.80,0.261587,,,,,0.00007964,0.0,3530.3
0.5093,3900,3900,train,3.935211,51.17,0.269958,,,,,0.00007929,0.0,3575.7
0.5159,3950,3950,train,3.905654,49.68,0.271245,,,,,0.00007895,0.0,3621.0
0.5224,4000,4000,train,3.868743,47.88,0.267176,,,,,0.00007860,0.0,3666.2
0.5289,4050,4050,train,3.833674,46.23,0.288301,,,,,0.00007825,0.0,3711.4
0.5355,4100,4100,train,3.809995,45.15,0.281075,,,,,0.00007790,0.0,3756.7
0.5420,4150,4150,train,3.764616,43.15,0.278623,,,,,0.00007756,0.0,3801.7
0.5485,4200,4200,train,3.705853,40.68,0.293771,,,,,0.00007721,0.0,3846.9
0.5550,4250,4250,train,3.632956,37.82,0.309854,,,,,0.00007686,0.0,3892.4
0.5616,4300,4300,train,3.570323,35.53,0.321676,,,,,0.00007651,0.0,3937.7
0.5681,4350,4350,train,3.507230,33.36,0.328065,,,,,0.00007617,0.0,3983.1
0.5746,4400,4400,train,3.471541,32.19,0.326408,,,,,0.00007582,0.0,4028.4
0.5812,4450,4450,train,3.429688,30.87,0.316655,,,,,0.00007547,0.0,4073.5
0.5877,4500,4500,train,3.390773,29.69,0.349669,,,,,0.00007513,0.0,4118.8
0.5942,4550,4550,train,3.368087,29.02,0.340495,,,,,0.00007478,0.0,4164.0
0.6008,4600,4600,train,3.328589,27.90,0.339336,,,,,0.00007443,0.0,4209.4
0.6073,4650,4650,train,3.300498,27.13,0.359720,,,,,0.00007408,0.0,4254.8
0.0.6138,4700,4700,train,3.276236,26.48,0.356035,,,,,0.00007374,0.0,4329.90.6203,4750,4750,train,3.248984,25.76,0.348066,,,,,0.00007339,0.0,4345.5
0.6269,4800,4800,train,3.221978,25.08,0.355273,,,,,0.00007304,0.0,4390.6
0.6334,4850,4850,train,3.203102,24.61,0.370316,,,,,0.00007269,0.0,4436.1
0.6399,4900,4900,train,3.185104,24.17,0.380637,,,,,0.00007235,0.0,4481.3
0.6465,4950,4950,train,3.157398,23.51,0.364401,,,,,0.00007200,0.0,4526.4
0.6530,5000,5000,train,3.143825,23.19,0.371448,,,,,0.00007165,0.0,4571.8
0.6595,5050,5050,train,3.120092,22.65,0.377596,,,,,0.00007130,0.0,4617.0
0.6661,5100,5100,train,3.099930,22.20,0.379702,,,,,0.00007096,0.0,4662.0
0.6726,5150,5150,train,3.099587,22.19,0.387340,,,,,0.00007061,0.0,4707.4
0.6791,5200,5200,train,3.080098,21.76,0.381660,,,,,0.00007026,0.0,4752.4
0.0.6856,5250,5250,train,3.067173,21.48,0.384400,,,,,0.00006992,0.0,4827.30.6922,5300,5300,train,3.047655,21.07,0.393692,,,,,0.00006957,0.0,4842.7
0.0.6987,5350,5350,train,3.038084,20.87,0.364166,,,,,0.00006922,0.0,4917.70.7052,5400,5400,train,3.021629,20.52,0.391042,,,,,0.00006887,0.0,4933.1
0.7118,5450,5450,train,3.009444,20.28,0.392831,,,,,0.00006853,0.0,4978.3
0.7183,5500,5500,train,3.000187,20.09,0.376245,,,,,0.00006818,0.0,5023.4
0.7248,5550,5550,train,2.988648,19.86,0.403114,,,,,0.00006783,0.0,5068.7
0.7314,5600,5600,train,2.980403,19.70,0.397458,,,,,0.00006748,0.0,5114.0
0.7379,5650,5650,train,2.972882,19.55,0.409206,,,,,0.00006714,0.0,5159.1
0.7444,5700,5700,train,2.969257,19.48,0.415205,,,,,0.00006679,0.0,5204.3
0.7509,5750,5750,train,2.960583,19.31,0.395869,,,,,0.00006644,0.0,5249.5
0.7575,5800,5800,train,2.938972,18.90,0.391156,,,,,0.00006609,0.0,5294.9
0.0.7640,5850,5850,train,2.926747,18.67,0.400497,,,,,0.00006575,0.0,5369.90.7705,5900,5900,train,2.921890,18.58,0.400701,,,,,0.00006540,0.0,5385.5
0.7771,5950,5950,train,2.913745,18.43,0.394625,,,,,0.00006505,0.0,5430.9
0.7836,6000,6000,train,2.905544,18.28,0.395804,,,,,0.00006471,0.0,5476.0
0.7901,6050,6050,train,2.893211,18.05,0.400280,,,,,0.00006436,0.0,5521.3
0.7967,6100,6100,train,2.881739,17.85,0.403473,,,,,0.00006401,0.0,5566.6
