epoch,global_step,phase,loss,accuracy,f1_macro,f1_weighted,precision,recall,learning_rate,wall_sec
0.9310,5250,train,2.040778,,,,,,0.00001533,1263.2
0.9399,5300,train,2.035659,,,,,,0.00001526,1274.4
0.9487,5350,train,1.927355,,,,,,0.00001520,1286.0
0.9576,5400,train,2.074205,,,,,,0.00001513,1297.4
0.9665,5450,train,1.935165,,,,,,0.00001506,1308.5
0.9754,5500,train,2.026488,,,,,,0.00001500,1320.2
0.9842,5550,train,2.003418,,,,,,0.00001493,1331.5
0.9931,5600,train,2.036586,,,,,,0.00001487,1342.7
1.0000,5639,val,2.242011,0.662126,0.518316,0.670653,0.689972,0.662126,,1381.6
1.0020,5650,train,1.959481,,,,,,0.00001480,1385.5
1.0108,5700,train,1.948698,,,,,,0.00001474,1397.1
1.0197,5750,train,1.848773,,,,,,0.00001467,1408.2
1.0286,5800,train,1.871820,,,,,,0.00001460,1419.6
1.0374,5850,train,1.962934,,,,,,0.00001454,1431.0
1.0463,5900,train,1.827239,,,,,,0.00001447,1442.7
1.0552,5950,train,1.804764,,,,,,0.00001441,1453.8
1.0640,6000,train,1.823367,,,,,,0.00001434,1465.3
1.0729,6050,train,1.880833,,,,,,0.00001428,1476.7
1.0818,6100,train,1.910553,,,,,,0.00001421,1488.1
1.0906,6150,train,1.893906,,,,,,0.00001414,1499.8
1.0995,6200,train,1.825549,,,,,,0.00001408,1511.0
1.1084,6250,train,1.859831,,,,,,0.00001401,1522.5
1.1172,6300,train,1.800798,,,,,,0.00001395,1533.9
1.1261,6350,train,1.811153,,,,,,0.00001388,1545.3
1.1350,6400,train,1.879228,,,,,,0.00001382,1556.7
1.1438,6450,train,1.900446,,,,,,0.00001375,1568.4
1.1527,6500,train,1.846533,,,,,,0.00001368,1579.9
1.1616,6550,train,1.816438,,,,,,0.00001362,1591.0
1.1704,6600,train,1.810158,,,,,,0.00001355,1602.5
1.1793,6650,train,1.832739,,,,,,0.00001349,1614.2
1.1882,6700,train,1.873659,,,,,,0.00001342,1625.4
1.1970,6750,train,1.852882,,,,,,0.00001336,1636.9
1.2059,6800,train,1.834643,,,,,,0.00001329,1648.3
1.2148,6850,train,1.771055,,,,,,0.00001322,1659.7
1.2236,6900,train,1.805158,,,,,,0.00001316,1671.1
1.2325,6950,train,1.734522,,,,,,0.00001309,1682.5
1.2414,7000,train,1.868427,,,,,,0.00001303,1693.9
1.2502,7050,train,1.781981,,,,,,0.00001296,1705.4
1.2591,7100,train,1.734357,,,,,,0.00001290,1716.8
1.2680,7150,train,1.871404,,,,,,0.00001283,1728.3
1.2768,7200,train,1.763238,,,,,,0.00001277,1739.7
1.2857,7250,train,1.736808,,,,,,0.00001270,1751.3
1.2946,7300,train,1.819837,,,,,,0.00001263,1762.8
1.3034,7350,train,1.831552,,,,,,0.00001257,1773.9
1.3123,7400,train,1.778114,,,,,,0.00001250,1785.3
1.3212,7450,train,1.803833,,,,,,0.00001244,1796.8
1.3300,7500,train,1.768546,,,,,,0.00001237,1808.2
1.3389,7550,train,1.698811,,,,,,0.00001231,1819.7
1.3478,7600,train,1.765015,,,,,,0.00001224,1831.1
1.3566,7650,train,1.761361,,,,,,0.00001217,1842.5
1.3655,7700,train,1.703914,,,,,,0.00001211,1853.9
1.3744,7750,train,1.762111,,,,,,0.00001204,1865.3
1.3832,7800,train,1.737267,,,,,,0.00001198,1877.0
1.3921,7850,train,1.761760,,,,,,0.00001191,1888.4
1.4010,7900,train,1.765110,,,,,,0.00001185,1899.5
1.4098,7950,train,1.706586,,,,,,0.00001178,1911.2
1.4187,8000,train,1.819378,,,,,,0.00001171,1922.4
1.4276,8050,train,1.785073,,,,,,0.00001165,1933.8
1.4364,8100,train,1.696470,,,,,,0.00001158,1945.5
1.4453,8150,train,1.755267,,,,,,0.00001152,1956.7
1.4542,8200,train,1.677499,,,,,,0.00001145,1968.0
1.4630,8250,train,1.693395,,,,,,0.00001139,1979.4
1.4719,8300,train,1.731650,,,,,,0.00001132,1991.1
1.4808,8350,train,1.821225,,,,,,0.00001125,2002.5
1.4896,8400,train,1.714484,,,,,,0.00001119,2013.7
1.4985,8450,train,1.756391,,,,,,0.00001112,2025.1
1.5074,8500,train,1.732399,,,,,,0.00001106,2036.5
1.5162,8550,train,1.738826,,,,,,0.00001099,2047.9
1.5251,8600,train,1.659076,,,,,,0.00001093,2059.3
1.5340,8650,train,1.800938,,,,,,0.00001086,2070.9
1.5428,8700,train,1.765399,,,,,,0.00001079,2082.1
1.5517,8750,train,1.734056,,,,,,0.00001073,2093.5
1.5606,8800,train,1.753757,,,,,,0.00001066,2105.1
1.5694,8850,train,1.715231,,,,,,0.00001060,2116.2
1.5783,8900,train,1.698061,,,,,,0.00001053,2127.7
1.5872,8950,train,1.764893,,,,,,0.00001047,2139.4
1.5960,9000,train,1.683364,,,,,,0.00001040,2150.5
1.6049,9050,train,1.695999,,,,,,0.00001033,2161.9
1.6138,9100,train,1.760943,,,,,,0.00001027,2173.3
1.6226,9150,train,1.687749,,,,,,0.00001020,2184.7
1.6315,9200,train,1.773437,,,,,,0.00001014,2196.2
1.6404,9250,train,1.723494,,,,,,0.00001007,2207.5
1.6492,9300,train,1.702761,,,,,,0.00001001,2218.9
1.6581,9350,train,1.695565,,,,,,0.00000994,2230.4
1.6670,9400,train,1.690036,,,,,,0.00000988,2242.0
1.6758,9450,train,1.775783,,,,,,0.00000981,2253.1
1.6847,9500,train,1.753990,,,,,,0.00000974,2264.8
1.6936,9550,train,1.661799,,,,,,0.00000968,2275.9
1.7024,9600,train,1.695523,,,,,,0.00000961,2287.3
1.7113,9650,train,1.700731,,,,,,0.00000955,2298.9
1.7202,9700,train,1.712721,,,,,,0.00000948,2310.1
1.7290,9750,train,1.653332,,,,,,0.00000942,2321.5
1.7379,9800,train,1.737059,,,,,,0.00000935,2332.9
1.7468,9850,train,1.731517,,,,,,0.00000928,2344.4
1.7556,9900,train,1.727949,,,,,,0.00000922,2355.8
1.7645,9950,train,1.714422,,,,,,0.00000915,2367.2
1.7734,10000,train,1.669524,,,,,,0.00000909,2378.6
1.7822,10050,train,1.748455,,,,,,0.00000902,2390.0
1.7911,10100,train,1.723544,,,,,,0.00000896,2401.4
1.8000,10150,train,1.619759,,,,,,0.00000889,2412.9
1.8088,10200,train,1.720824,,,,,,0.00000882,2424.3
1.8177,10250,train,1.608157,,,,,,0.00000876,2435.9
1.8266,10300,train,1.685956,,,,,,0.00000869,2447.1
1.8354,10350,train,1.656509,,,,,,0.00000863,2458.8
1.8443,10400,train,1.639484,,,,,,0.00000856,2469.9
1.8532,10450,train,1.645000,,,,,,0.00000850,2481.3
1.8620,10500,train,1.679671,,,,,,0.00000843,2492.7
1.8709,10550,train,1.717083,,,,,,0.00000836,2504.1
1.8798,10600,train,1.671663,,,,,,0.00000830,2515.5
1.8886,10650,train,1.630529,,,,,,0.00000823,2526.9
1.8975,10700,train,1.635318,,,,,,0.00000817,2538.3
1.9064,10750,train,1.588395,,,,,,0.00000810,2549.7
1.9152,10800,train,1.686158,,,,,,0.00000804,2561.1
1.9241,10850,train,1.630713,,,,,,0.00000797,2572.5
1.9330,10900,train,1.624942,,,,,,0.00000790,2583.9
1.9418,10950,train,1.588895,,,,,,0.00000784,2595.5
1.9507,11000,train,1.609577,,,,,,0.00000777,2606.6
1.9596,11050,train,1.603263,,,,,,0.00000771,2618.0
1.9684,11100,train,1.663281,,,,,,0.00000764,2629.6
1.9773,11150,train,1.635493,,,,,,0.00000758,2640.8
1.9862,11200,train,1.578147,,,,,,0.00000751,2652.2
1.9950,11250,train,1.610928,,,,,,0.00000745,2663.6
2.0000,11278,val,2.147159,0.680970,0.534484,0.682630,0.693986,0.680970,,2699.9
2.0039,11300,train,1.513297,,,,,,0.00000738,2706.6
2.0128,11350,train,1.542822,,,,,,0.00000731,2718.0
2.0216,11400,train,1.501770,,,,,,0.00000725,2729.5
2.0305,11450,train,1.489996,,,,,,0.00000718,2740.6
2.0394,11500,train,1.507493,,,,,,0.00000712,2752.0
2.0482,11550,train,1.399218,,,,,,0.00000705,2763.5
2.0571,11600,train,1.488173,,,,,,0.00000699,2774.9
2.0660,11650,train,1.472893,,,,,,0.00000692,2786.5
2.0748,11700,train,1.422543,,,,,,0.00000685,2797.6
2.0837,11750,train,1.487408,,,,,,0.00000679,2809.0
2.0926,11800,train,1.540179,,,,,,0.00000672,2820.5
2.1014,11850,train,1.411359,,,,,,0.00000666,2832.1
2.1103,11900,train,1.441812,,,,,,0.00000659,2843.3
2.1192,11950,train,1.406892,,,,,,0.00000653,2854.7
2.1280,12000,train,1.468762,,,,,,0.00000646,2866.2
2.1369,12050,train,1.476959,,,,,,0.00000639,2877.9
2.1458,12100,train,1.444829,,,,,,0.00000633,2889.1
2.1546,12150,train,1.446559,,,,,,0.00000626,2900.5
2.1635,12200,train,1.403503,,,,,,0.00000620,2912.0
2.1724,12250,train,1.461963,,,,,,0.00000613,2923.6
2.1812,12300,train,1.427489,,,,,,0.00000607,2934.7
2.1901,12350,train,1.395341,,,,,,0.00000600,2946.2
2.1990,12400,train,1.517496,,,,,,0.00000593,2957.6
2.2078,12450,train,1.438031,,,,,,0.00000587,2969.3
2.2167,12500,train,1.464564,,,,,,0.00000580,2980.4
2.2256,12550,train,1.443405,,,,,,0.00000574,2992.1
2.2344,12600,train,1.404930,,,,,,0.00000567,3003.2
2.2433,12650,train,1.456812,,,,,,0.00000561,3014.6
2.2522,12700,train,1.389384,,,,,,0.00000554,3026.0
2.2610,12750,train,1.392897,,,,,,0.00000547,3037.4
2.2699,12800,train,1.394910,,,,,,0.00000541,3048.7
2.2788,12850,train,1.458036,,,,,,0.00000534,3060.1
2.2876,12900,train,1.434664,,,,,,0.00000528,3071.5
2.2965,12950,train,1.423596,,,,,,0.00000521,3082.9
2.3054,13000,train,1.417135,,,,,,0.00000515,3094.3
2.3142,13050,train,1.448202,,,,,,0.00000508,3106.0
2.3231,13100,train,1.422549,,,,,,0.00000502,3117.4
2.3320,13150,train,1.479148,,,,,,0.00000495,3128.8
2.3408,13200,train,1.454779,,,,,,0.00000488,3140.2
2.3497,13250,train,1.408018,,,,,,0.00000482,3151.4
2.3586,13300,train,1.353911,,,,,,0.00000475,3162.8
2.3674,13350,train,1.410587,,,,,,0.00000469,3174.3
2.3763,13400,train,1.474965,,,,,,0.00000462,3185.7
2.3852,13450,train,1.326606,,,,,,0.00000456,3197.1
2.3940,13500,train,1.401451,,,,,,0.00000449,3208.5
